Approved name	Status	Previous symbols	Chromosome	Accession numbers	RefSeq IDs	OMIM ID(supplied by OMIM)	Ensembl ID(supplied by Ensembl)	NCBI Gene ID(supplied by NCBI)
acyl-CoA synthetase short chain family member 3	Approved		12q21.31		NM_024560	614356	ENSG00000111058	79611
actin, alpha 1, skeletal muscle	Approved	ACTA	1q42.13	J00068	NM_001100	102610	ENSG00000143632	58
actin, alpha 2, smooth muscle, aorta	Approved		10q23.31	X13839	NM_001613	102620	ENSG00000107796	59
ACTA2 antisense RNA 1	Approved		10q23.31	AK093340, AX748062	NR_125373		ENSG00000180139	100132116
actin beta	Approved		7p22.1	M28424	NM_001101	102630	ENSG00000075624	60
actin, beta like 2	Approved		5q11.2		NM_001017992	614835	ENSG00000169067	345651
actin, beta pseudogene 1	Approved		Xp11.3		NG_022596		ENSG00000229145	643309
actin, beta pseudogene 2	Approved		5q14.1		NG_003019		ENSG00000213763	62
actin, beta pseudogene 3	Approved		18q21.33					63
actin, beta pseudogene 4	Approved		5q23.3					64
actin, beta pseudogene 6	Approved		8q21.2		NG_008793		ENSG00000203413	66
actin, beta pseudogene 7	Approved		15q15.3	V00479			ENSG00000185607	67
actin, beta pseudogene 8	Approved		6q15	V00481	NG_000840		ENSG00000220267	68
actin, beta pseudogene 9	Approved		18q21.33	D50604	NG_003162		ENSG00000266920	69
actin, beta pseudogene 10	Approved		14q11.2					446207
actin, beta pseudogene 11	Approved		1q41				ENSG00000188460	644220
actin, beta pseudogene 12	Approved	ACTGP5	1p22.1		NG_026958		ENSG00000233125	100462767
actin, beta pseudogene 13	Approved		3p21.31				ENSG00000234667	389120
actin, beta pseudogene 14	Approved		10q22.1		NG_022182		ENSG00000229001	389976
actin, alpha, cardiac muscle 1	Approved	ACTC	15q14	BC009978	NM_005159	102540	ENSG00000159251	70
actin gamma 1	Approved	ACTG, DFNA20, DFNA26	17q25.3		NM_001614	102560	ENSG00000184009	71
actin gamma 1 pseudogene 1	Approved	ACTGP1, ACT1GP1	3q23	D50658	NG_001068		ENSG00000178631	73
actin gamma 1 pseudogene 2	Approved	ACTL2, ACTGP2	Yq11.222		NG_004636		ENSG00000229129	74
actin gamma 1 pseudogene 3	Approved	ACTGP3	20p13	AF196978	NG_000842		ENSG00000215388	75
actin gamma 1 pseudogene 4	Approved	ACTGP4	1p21.1				ENSG00000236085	648740
actin gamma 1 pseudogene 6	Approved	ACTGP6	1p21					78
actin gamma 1 pseudogene 7	Approved	ACTGP7	1p21					79
actin gamma 1 pseudogene 8	Approved	ACTGP8	1p21					80
actin gamma 1 pseudogene 9	Approved	ACTGP9	6p12.3	D50659	NG_001069		ENSG00000229349	82
actin gamma 1 pseudogene 10	Approved	ACTL1, ACTGP10	Xp11.22	AL139396	NG_003039		ENSG00000231340	83
actin gamma 1 pseudogene 11	Approved		Yq11.222		NG_004636		ENSG00000229465	414754
actin gamma 1 pseudogene 12	Approved		3p25.2				ENSG00000226642	100418921
actin gamma 1 pseudogene 13	Approved		3q12.1				ENSG00000241305	100418920
actin gamma 1 pseudogene 14	Approved		9p24.1		NG_023870		ENSG00000230581	100418910
actin gamma 1 pseudogene 15	Approved		15q14				ENSG00000259904	100418951
actin gamma 1 pseudogene 16	Approved		16q12.1				ENSG00000260298	100418960
actin gamma 1 pseudogene 17	Approved		15q25.2				ENSG00000259315	283693
actin gamma 1 pseudogene 18	Approved		6q16.3				ENSG00000218475	100418924
actin gamma 1 pseudogene 19	Approved		9q31.1				ENSG00000237999	644160
actin gamma 1 pseudogene 20	Approved		1p36.11				ENSG00000241547	644961
actin gamma 1 pseudogene 21	Approved		1p31.1				ENSG00000232672	100131291
actin gamma 1 pseudogene 22	Approved		2p16.1				ENSG00000271615	100131953
actin gamma 1 pseudogene 23	Approved		3q26.31				ENSG00000230362	442097
actin gamma 1 pseudogene 24	Approved	POTENP	17p11.2				ENSG00000226359	441783
actin, gamma 2, smooth muscle, enteric	Approved	ACTL3, ACTA3	2p13.1		NM_001615	102545	ENSG00000163017	72
symbol withdrawn, see ACTG1P2	Symbol Withdrawn							
symbol withdrawn, see ACTG2	Symbol Withdrawn							
actin like 6A	Approved		3q26.33	AK098691	NM_004301	604958	ENSG00000136518	86
actin like 6B	Approved	ACTL6	7q22.1	AB015906	NM_016188	612458	ENSG00000077080	51412
actin like 7A	Approved		9q31.3	BC014610	NM_006687	604303	ENSG00000187003	10881
actin like 7B	Approved		9q31.3	BC033789	NM_006686	604304	ENSG00000148156	10880
actin like 8	Approved		1p36.13	AK057339	NM_030812		ENSG00000117148	81569
actin like 9	Approved		19p13.2		NM_178525		ENSG00000181786	284382
actin like 10	Approved	C20orf134	20q11.22	AL121906			ENSG00000182584	170487
actinin alpha 1	Approved		14q24.1	M95178	NM_001102	102575	ENSG00000072110	87
ACTN1 antisense RNA 1	Approved	C14orf84	14q24.1	DB029126, AI147349			ENSG00000259062	161159
actinin alpha 2	Approved		1q43	BC047901	NM_001103	102573	ENSG00000077522	88
actinin alpha 3 (gene/pseudogene)	Approved		11q13.2	M86407	NM_001104	102574	ENSG00000248746	89
actinin alpha 4	Approved	FSGS1	19q13.2	D89980		604638	ENSG00000130402	81
actinin alpha 4 pseudogene 1	Approved		4q26				ENSG00000213493	344978
actinin alpha 4 pseudogene 2	Approved		1p34.3				ENSG00000214141	391026
actin family pseudogene 1	Approved		2q12.3		NG_044542		ENSG00000229890	106480335
ARP1 actin related protein 1 homolog A	Approved		10q24.32	X82206		605143	ENSG00000138107	10121
ARP1 actin related protein 1 homolog B	Approved	CTRN2	2q11.2	X82207	NM_005735	605144	ENSG00000115073	10120
ARP2 actin related protein 2 homolog	Approved		2p14	AF006082	NM_001005386	604221	ENSG00000138071	10097
ARP3 actin related protein 3 homolog	Approved		2q14.1	AF006083	NM_005721	604222	ENSG00000115091	10096
ACTR3 antisense RNA 1	Approved		2q14.1		NR_110174			101060091
ARP3 actin related protein 3 homolog B	Approved		7q36.1-q36.2		NM_020445		ENSG00000133627	57180
ACTR3B pseudogene 1	Approved		Yq11.21		NG_005799		ENSG00000270242	643050
ACTR3B pseudogene 2	Approved		2p11.1				ENSG00000226481	440888
ACTR3B pseudogene 3	Approved		16p11.2				ENSG00000260327	647156
ACTR3B pseudogene 4	Approved		4q24				ENSG00000249283	777774
ACTR3B pseudogene 5	Approved		10p11.1				ENSG00000227264	399746
ACTR3B pseudogene 6	Approved		22q11.1				ENSG00000226444	644773
ARP3 actin related protein 3 homolog C	Approved		7q36.1				ENSG00000106526	653857
ACTR3 pseudogene 1	Approved		14q11.2					100288580
ACTR3 pseudogene 2	Approved		Xq13.1				ENSG00000232267	100129013
ACTR3 pseudogene 3	Approved		3q12.2				ENSG00000242573	100128020
ARP5 actin related protein 5 homolog	Approved		20q11.23	AK022847	NM_024855		ENSG00000101442	79913
ARP6 actin related protein 6 homolog	Approved		12q23.1	AF212251	NM_022496		ENSG00000075089	64431
ACTR6 pseudogene 1	Approved		4q25		NG_025147		ENSG00000248915	100421495
ARP8 actin related protein 8 homolog	Approved		3p21.1		NM_022899		ENSG00000113812	93973
actin related protein 10 homolog	Approved		14q23.1	AF220190			ENSG00000131966	55860
actin related protein T1	Approved		Xq25	AF440739	NM_138289	300487	ENSG00000123165	139741
actin related protein T2	Approved		1p36.32	AF440740, AB057364	NM_080431	608535	ENSG00000169717	140625
actin related protein T3	Approved		3q26.2	AK055346	NM_032487	608534	ENSG00000184378	84517
activin A receptor type 1	Approved	ACVRLK2	2q24.1		NM_001105	102576	ENSG00000115170	90
activin A receptor type 1B	Approved	ACVRLK4	12q13.13		NM_020328	601300	ENSG00000135503	91
activin A receptor type 1C	Approved		2q24.1	BC022530	NM_145259	608981	ENSG00000123612	130399
activin A receptor type 2A	Approved	ACVR2	2q22.3-q23.1		NM_001616	102581	ENSG00000121989	92
activin A receptor type 2B	Approved		3p22.2	X77533	NM_001106	602730	ENSG00000114739	93
ACVR2B antisense RNA 1	Approved		3p22.2	AK025619	NR_028389		ENSG00000229589	100128640
activin A receptor like type 1	Approved	ACVRLK1, ORW2	12q13.13	L17075	NM_000020	601284	ENSG00000139567	94
symbol withdrawn, see ACVR1	Symbol Withdrawn							
aminoacylase 1	Approved		3p21.2	L07548	NM_000666	104620	ENSG00000243989	95
symbol withdrawn, see CCDC102B	Symbol Withdrawn							
aminoacylase 3	Approved		11q13.2	BC008689	NM_080658	614413	ENSG00000132744	91703
acylphosphatase 1	Approved		14q24.3	X84194		600875	ENSG00000119640	97
acylphosphatase 2	Approved		2p16.2	X84195		102595	ENSG00000170634	98
symbol withdrawn, see APP	Symbol Withdrawn							
symbol withdrawn, see APOE	Symbol Withdrawn							
symbol withdrawn, see PSEN1	Symbol Withdrawn							
symbol withdrawn, see PSEN2	Symbol Withdrawn							
Alzheimer disease 5	Approved		12p11.23-q13.12			602096		8081
adenosine deaminase	Approved		20q13.12	X02994	NM_000022	608958	ENSG00000196839	100
adenosine deaminase 2	Approved	IDGFL, CECR1	22q11.1	AF190746		607575	ENSG00000093072	51816
adenosine deaminase domain containing 1	Approved		4q27	AK057303	NM_139243	614130	ENSG00000164113	132612
adenosine deaminase domain containing 1 pseudogene 1	Approved		3p22.2					100422386
adenosine deaminase domain containing 1 pseudogene 2	Approved		18q21.1				ENSG00000267511	100422407
adenosine deaminase domain containing 2	Approved		16q24.1	AF447586	NM_139174		ENSG00000140955	161931
adenosine deaminase like	Approved		15q15.3		NM_001324366		ENSG00000168803	161823
ADAM metallopeptidase domain 1A (pseudogene)	Approved	ADAM1	12q24.12-q24.13	Y09232	NG_001216		ENSG00000229186	8759
ADAM metallopeptidase domain 1B (pseudogene)	Approved		12q24.13		NG_024129		ENSG00000226469	100420505
ADAM metallopeptidase domain 2	Approved	FTNB	8p11.22	U52370	NM_001464	601533	ENSG00000104755	2515
ADAM metallopeptidase domain 3A (pseudogene)	Approved	CYRN1	8p11.22	X89657	NR_001569		ENSG00000197475	1587
ADAM metallopeptidase domain 3B (pseudogene)	Approved	CYRN2	16q12.1	Y10615	NG_001526		ENSG00000260089	1596
ADAM metallopeptidase domain 5 (pseudogene)	Approved	ADAM5P	8p11.22	BC047448	NR_001448		ENSG00000196115	255926
ADAM metallopeptidase domain 6 (pseudogene)	Approved	C14orf96	14q32.33	AI024595	NR_002224		ENSG00000271968	8755
ADAM metallopeptidase domain 7	Approved		8p21.2	AF090327	NM_003817	607310	ENSG00000069206	8756
ADAM metallopeptidase domain 8	Approved		10q26.3	D26579	NM_001109	602267	ENSG00000151651	101
ADAM metallopeptidase domain 9	Approved	CORD9	8p11.22	U41766		602713	ENSG00000168615	8754
ADAM metallopeptidase domain 10	Approved		15q21.3	AF009615	NM_001110	602192	ENSG00000137845	102
ADAM metallopeptidase domain 11	Approved	MDC	17q21.31	D17390	NM_002390	155120	ENSG00000073670	4185
ADAM metallopeptidase domain 12	Approved		10q26.2	AF023476		602714	ENSG00000148848	8038
ADAM metallopeptidase domain 15	Approved		1q21.3	U46005	NM_003815	605548	ENSG00000143537	8751
ADAM metallopeptidase domain 17	Approved	TACE	2p25.1	U69611		603639	ENSG00000151694	6868
ADAM metallopeptidase domain 18	Approved		8p11.22	AJ133004	NM_014237		ENSG00000168619	8749
ADAM metallopeptidase domain 19	Approved		5q33.3	AF311317	NM_033274	603640	ENSG00000135074	8728
ADAM metallopeptidase domain 20	Approved		14q24.2	AF029899		603712	ENSG00000134007	8748
ADAM metallopeptidase domain 20 pseudogene 1	Approved	C14orf55	14q24.2	BC047939	NR_037933		ENSG00000259158	317760
ADAM metallopeptidase domain 20 pseudogene 2	Approved		4q34.2				ENSG00000248574	100533671
ADAM metallopeptidase domain 20 pseudogene 3	Approved		4q35.2				ENSG00000249162	644325
ADAM metallopeptidase domain 21	Approved		14q24.2	AF029900		603713	ENSG00000139985	8747
ADAM metallopeptidase domain 21 pseudogene 1	Approved	ADAM21P	14q24.2		NG_002467		ENSG00000235812	145241
ADAM metallopeptidase domain 22	Approved		7q21.12	AB009671	NM_021723	603709	ENSG00000008277	53616
ADAM metallopeptidase domain 23	Approved		2q33.3	AB009672	NM_003812	603710	ENSG00000114948	8745
ADAM metallopeptidase domain 24, pseudogene	Approved		8p22				ENSG00000214607	646479
ADAM metallopeptidase domain 28	Approved		8p21.2	AJ242015	NM_021778	606188	ENSG00000042980	10863
ADAM metallopeptidase domain 29	Approved		4q34.1	AF171929		604778	ENSG00000168594	11086
ADAM metallopeptidase domain 30	Approved		1p12	AF171932	NM_021794	604779	ENSG00000134249	11085
ADAM metallopeptidase domain 32	Approved		8p11.22	BC026085	NM_145004		ENSG00000197140	203102
ADAM metallopeptidase domain 33	Approved	C20orf153	20p13	AL117415, AB055891	NM_025220	607114	ENSG00000149451	80332
ADAM like decysin 1	Approved		8p21.2	Y13323	NM_014479	606393	ENSG00000134028	27299
ADAM metallopeptidase with thrombospondin type 1 motif 1	Approved		21q21.3	AF060152		605174	ENSG00000154734	9510
ADAM metallopeptidase with thrombospondin type 1 motif 2	Approved		5q35.3	AJ003125	NM_014244	604539	ENSG00000087116	9509
ADAM metallopeptidase with thrombospondin type 1 motif 3	Approved		4q13.3	AB002364		605011	ENSG00000156140	9508
ADAM metallopeptidase with thrombospondin type 1 motif 4	Approved		1q23.3	AB014588	NM_005099	603876	ENSG00000158859	9507
ADAM metallopeptidase with thrombospondin type 1 motif 5	Approved		21q21.3	AF142099		605007	ENSG00000154736	11096
ADAM metallopeptidase with thrombospondin type 1 motif 6	Approved		5q12.3	AF140674	NM_197941	605008	ENSG00000049192	11174
ADAM metallopeptidase with thrombospondin type 1 motif 7	Approved		15q25.1	AF140675	NM_014272	605009	ENSG00000136378	11173
ADAMTS7 pseudogene 1	Approved	ADAMTS7P2	15q25.2				ENSG00000274376	390660
symbol withdrawn, see ADAMTS7P1	Symbol Withdrawn							
ADAMTS7 pseudogene 3	Approved		15q24.3				ENSG00000261143	400406
ADAMTS7 pseudogene 4	Approved		15q25.3				ENSG00000218052	642935
ADAM metallopeptidase with thrombospondin type 1 motif 8	Approved		11q24.3	AF060153	NM_007037	605175	ENSG00000134917	11095
ADAM metallopeptidase with thrombospondin type 1 motif 9	Approved		3p14.1	AF261918		605421	ENSG00000163638	56999
ADAMTS9 antisense RNA 1	Approved		3p14.1		NR_110150		ENSG00000241158	101929335
ADAMTS9 antisense RNA 2	Approved		3p14.1		NR_038264		ENSG00000241684	100507098
ADAM metallopeptidase with thrombospondin type 1 motif 10	Approved		19p13.2	AF163762	NM_030957	608990	ENSG00000142303	81794
ADAM metallopeptidase with thrombospondin type 1 motif 12	Approved		5p13.3-p13.2	AJ250725	NM_030955	606184	ENSG00000151388	81792
ADAM metallopeptidase with thrombospondin type 1 motif 13	Approved	C9orf8	9q34.2	AJ011374	NM_139025	604134	ENSG00000160323	11093
ADAM metallopeptidase with thrombospondin type 1 motif 14	Approved		10q22.1	AF358666	NM_080722	607506	ENSG00000138316	140766
ADAM metallopeptidase with thrombospondin type 1 motif 15	Approved		11q24.3	AJ315733	NM_139055	607509	ENSG00000166106	170689
ADAM metallopeptidase with thrombospondin type 1 motif 16	Approved		5p15.32	AJ315734	NM_139056	607510	ENSG00000145536	170690
ADAM metallopeptidase with thrombospondin type 1 motif 17	Approved		15q26.3	AJ315735	NM_139057	607511	ENSG00000140470	170691
ADAM metallopeptidase with thrombospondin type 1 motif 18	Approved	ADAMTS21	16q23.1	AJ311903		607512	ENSG00000140873	170692
ADAM metallopeptidase with thrombospondin type 1 motif 19	Approved		5q23.3	AJ311904	NM_133638	607513	ENSG00000145808	171019
ADAMTS19 antisense RNA 1	Approved		5q23.3	DA728271			ENSG00000249421	103689846
ADAM metallopeptidase with thrombospondin type 1 motif 20	Approved		12q12	AF488804	NM_025003	611681	ENSG00000173157	80070
symbol withdrawn, see ADAMTS18	Symbol Withdrawn							
ADAMTS like 1	Approved	C9orf94	9p22.2-p22.1	AF176313		609198	ENSG00000178031	92949
ADAMTS like 2	Approved		9q34.2	AB011177	NM_014694	612277	ENSG00000197859	9719
ADAMTS like 3	Approved		15q25.2	AF237652	NM_207517	609199	ENSG00000156218	57188
ADAMTS like 4	Approved	TSRC1	1q21.2	BC027478	NM_019032	610113	ENSG00000143382	54507
ADAMTSL4 antisense RNA 1	Approved	C1orf138	1q21.2	AK127688			ENSG00000203804	574406
ADAMTS like 5	Approved	THSD6	19p13.3	BC040620	NM_213604		ENSG00000185761	339366
ArfGAP with dual PH domains 1	Approved	CENTA1	7p22.3	AJ006422	NM_006869	608114	ENSG00000105963	11033
ArfGAP with dual PH domains 2	Approved	CENTA2	17q11.2	AJ238994	NM_018404	608635	ENSG00000184060	55803
adenosine deaminase, RNA specific	Approved	IFI4, G1P1	1q21.3	BC038227	NM_001111	146920	ENSG00000160710	103
adenosine deaminase, RNA specific B1	Approved		21q22.3	U76420	NM_015833	601218	ENSG00000197381	104
adenosine deaminase, RNA specific B2 (inactive)	Approved		10p15.3	AF034837	NM_018702	602065	ENSG00000185736	105
ADARB2 antisense RNA 1	Approved	C10orf109, NCRNA00168	10p15.3		NR_033387		ENSG00000205696	642394
adenosine deaminase, tRNA specific 1	Approved		16q23.1	AF125188	NM_012091	604230	ENSG00000065457	23536
adenosine deaminase, tRNA specific 2	Approved	DEADC1	6q24.2	BC037955	NM_001286259	615388	ENSG00000189007	134637
adenosine deaminase, tRNA specific 3	Approved		19p13.3	BC011824	NM_138422	615302	ENSG00000213638	113179
aarF domain containing kinase 1	Approved		14q24.3	AK096919	NM_020421		ENSG00000063761	57143
aarF domain containing kinase 2	Approved		7q34	AF131745	NM_052853		ENSG00000133597	90956
aarF domain containing kinase 5	Approved		8q24.3	BC032402	NM_174922		ENSG00000173137	203054
adenosine deaminase complexing protein 1	Approved		6					106
symbol withdrawn, see DPP4	Symbol Withdrawn							
adenylate cyclase 1	Approved	DFNB44	7p12.3	L05500	NM_021116	103072	ENSG00000164742	107
adenylate cyclase 2	Approved		5p15.31	AB028983	NM_020546	103071	ENSG00000078295	108
adenylate cyclase 3	Approved		2p23.3	AF033861		600291	ENSG00000138031	109
adenylate cyclase 4	Approved		14q12	AF497516		600292	ENSG00000129467	196883
adenylate cyclase 5	Approved		3q21.1	U65473	NM_183357	600293	ENSG00000173175	111
adenylate cyclase 6	Approved		12q13.12		NM_020983	600294	ENSG00000174233	112
adenylate cyclase 7	Approved		16q12.1	D25538		600385	ENSG00000121281	113
adenylate cyclase 8	Approved	ADCY3	8q24.22	Z35309		103070	ENSG00000155897	114
adenylate cyclase 9	Approved		16p13.3	AF036927		603302	ENSG00000162104	115
adenylate cyclase 10	Approved		1q24.2	AF271058	NM_018417	605205	ENSG00000143199	55811
adenylate cyclase 10, soluble pseudogene 1	Approved		6p21.1		NR_026938		ENSG00000161912	221442
adenylate cyclase activating polypeptide 1	Approved		18p11.32	S83513	NM_001117	102980	ENSG00000141433	116
ADCYAP receptor type I	Approved		7p14.3		NM_001118	102981	ENSG00000078549	117
adducin 1	Approved		4p16.3	L07261	NM_014189	102680	ENSG00000087274	118
adducin 2	Approved		2p13.3	X58199	NM_001617	102681	ENSG00000075340	119
adducin 3	Approved	ADDL	10q25.1-q25.2	U37122	NM_019903	601568	ENSG00000148700	120
ADD3 antisense RNA 1	Approved		10q25.1		NR_038943		ENSG00000203876	100505933
symbol withdrawn, see ADD3	Symbol Withdrawn							
albinism-deafness syndrome	Approved		Xq26.3-q27.1			300700		122
androglobin	Approved	C6orf103	6q24.3	AK026774	NM_024694	614630	ENSG00000118492	79747
adhesion G protein-coupled receptor A1	Approved	GPR123	10q26.3	AB058731		612302	ENSG00000197177	84435
adhesion G protein-coupled receptor A1 antisense RNA 1	Approved	GPR123-AS1	10q26.3				ENSG00000256925	100128127
adhesion G protein-coupled receptor A2	Approved	GPR124	8p11.23	AB040964		606823	ENSG00000020181	25960
adhesion G protein-coupled receptor A3	Approved	GPR125	4p15.2	AK095866		612303	ENSG00000152990	166647
adhesion G protein-coupled receptor B1	Approved	BAI1	8q24.3	AB005297	NM_001702	602682	ENSG00000181790	575
